Time (hours),Number of failures,E,M,N,S,C,PCB,LS,RESULT
2000,0,0,0,0,0,0,0,0,1
2300,0,0,0,0,0,0,0,0,1
2600,1,1,0,0,0,0,0,0,0
2740,2,0,1,1,0,0,0,0,1
2830,1,0,0,0,1,0,0,0,1
2900,1,0,0,0,0,1,0,0,1
2990,3,0,0,0,0,1,1,1,0
3140,1,0,0,0,1,0,0,0,1
3200,1,1,0,0,0,0,0,0,0
3320,2,0,1,1,0,0,0,0,1
3420,2,0,0,0,1,1,0,0,1
3480,1,0,0,0,0,0,1,0,0
3500,2,0,0,1,1,0,0,0,1
3560,2,0,0,0,1,1,0,0,1
3760,3,0,0,0,0,1,1,1,0
3800,1,1,0,0,0,0,0,0,0
3960,4,0,1,1,1,1,0,0,1
4030,2,0,0,1,0,0,0,1,1
4080,1,0,1,0,0,0,0,0,1
4100,1,0,0,0,0,1,0,0,1
4220,3,1,0,1,0,0,1,1,0
4320,2,0,0,1,1,0,0,0,1
4390,2,0,0,0,0,1,1,0,0
4400,3,1,1,1,0,0,0,0,0
4520,2,0,1,1,0,0,0,0,1
4670,1,0,0,0,1,0,1,1,0
4680,1,0,1,0,0,0,0,0,1
4700,2,0,0,1,1,0,0,0,1
4730,1,0,0,0,0,1,0,0,1
4850,1,0,0,0,0,0,0,1,1
5000,2,0,0,1,0,1,0,0,1
5130,3,1,1,1,0,0,0,0,0
5240,2,0,0,0,1,1,0,0,1
5260,2,0,0,0,0,1,1,0,0
5300,3,0,0,0,0,1,1,1,0
5380,1,1,0,0,0,0,0,0,0
5420,1,0,1,0,0,0,0,0,1
5600,4,1,1,1,1,0,0,0,0
5750,1,0,0,0,0,0,1,0,0
5840,2,0,0,1,1,0,0,0,1
5900,2,0,0,0,0,1,1,0,0
6020,3,0,0,1,0,1,0,1,1
6150,2,1,1,0,0,0,0,0,0
6200,4,0,0,1,1,1,0,1,1
