Time (hours),Number of failures,E,M,N,S,C,PCB,LS,RESULT
2000,0,0,0,0,0,0,0,0,1
2300,0,0,0,0,0,0,0,0,1
2430,2,1,0,0,0,0,0,1,0
2600,1,0,1,0,0,0,0,0,0
2750,3,0,0,1,1,1,0,0,0
2900,1,0,0,0,0,0,1,0,1
3010,2,0,0,1,1,0,0,0,0
3140,1,0,0,0,0,1,0,0,0
3200,1,1,0,0,0,0,0,0,0
3240,2,0,0,1,1,0,0,0,0
3500,1,0,0,0,0,0,1,0,1
3650,2,0,0,0,1,1,0,0,0
3800,1,1,0,0,0,0,0,0,0
3940,3,0,1,1,1,0,0,0,0
4100,1,0,0,0,0,0,0,1,1
4230,2,0,0,0,1,0,0,1,1
4400,3,0,0,0,0,1,1,1,0
4530,2,0,0,1,0,0,0,1,0
4620,1,0,0,0,0,0,1,0,1
4700,2,0,0,1,1,0,0,0,0
4850,2,0,1,0,0,0,0,1,0
4910,1,0,0,1,0,0,0,0,0
5000,2,0,0,0,1,1,0,0,0
5120,2,0,0,0,0,0,1,1,1
5260,1,0,0,0,0,0,0,1,1
5300,1,0,0,0,1,0,0,0,1
5430,2,0,0,1,0,0,1,0,0
5560,1,0,1,0,0,0,0,0,0
5600,2,0,0,1,1,0,0,0,0
5730,2,1,0,0,0,1,0,0,0
5840,1,0,0,0,1,0,0,0,1
5900,3,1,1,1,0,0,0,0,0
6120,2,0,0,0,1,1,0,0,0
6180,1,1,0,0,0,0,0,0,0
6200,2,0,0,1,1,0,0,0,0
