Time (hours),Number of failures,E,M,N,S,C,PCB,LS,RESULT
2000,0,0,0,0,0,0,0,0,1
2090,1,1,0,0,0,0,0,0,1
2250,2,0,0,1,1,0,0,0,0
2300,0,0,0,0,0,0,0,0,0
2420,1,0,1,0,0,0,0,0,1
2500,2,0,0,0,1,1,0,0,1
2530,1,0,0,0,0,0,1,0,1
2600,1,0,0,0,0,0,0,1,0
2900,1,0,0,1,0,0,0,0,0
2970,1,0,0,0,1,0,0,0,1
3000,1,0,0,0,0,0,0,1,0
3120,1,0,0,0,0,0,1,0,1
3200,2,0,0,0,1,0,0,1,0
3331,1,0,0,0,0,0,1,0,1
3442,1,0,0,1,0,0,0,0,0
3490,1,0,0,1,0,0,0,0,0
3500,1,0,1,0,0,0,0,0,1
3625,2,0,0,0,0,1,0,1,0
3720,1,0,0,1,0,0,0,0,0
3800,1,0,0,0,1,0,0,0,1
3950,1,0,0,0,0,0,1,0,1
4100,2,1,0,1,0,0,0,0,0
4220,1,0,1,0,0,0,0,0,1
4370,1,0,0,0,1,0,0,0,1
4400,3,1,0,0,1,1,0,0,1
4570,1,0,0,0,0,0,0,1,0
4620,1,0,0,0,0,0,1,0,1
4700,2,0,1,1,0,0,0,0,0
4840,1,0,0,0,1,0,0,0,1
4900,1,0,0,0,0,0,1,0,1
5000,1,0,0,0,0,1,0,0,1
5220,2,0,0,0,1,1,0,0,1
5300,3,0,1,1,1,0,0,0,0
5430,2,0,0,0,0,1,1,0,1
5560,2,0,0,0,0,0,1,1,0
5600,1,0,0,0,0,0,0,1,0
5730,2,1,0,0,0,0,0,1,0
5840,1,0,0,1,0,0,0,0,0
5900,3,0,0,0,0,1,1,1,0
5970,2,0,1,0,0,1,0,0,1
6120,1,1,0,0,0,0,0,0,1
6180,1,0,0,0,0,0,1,0,1
6200,3,1,0,0,1,0,1,0,1
