Time (hours),Number of failures,E,M,N,S,C,PCB,LS,RESULT
2000,0,0,0,0,0,0,0,0,1
2300,0,0,0,0,0,0,0,0,1
2440,2,0,0,0,0,0,1,1,0
2530,1,0,0,1,0,0,0,0,0
2600,1,1,0,0,0,0,0,0,0
2750,3,0,1,0,1,1,0,0,1
2840,2,0,0,0,0,0,1,1,0
2890,2,0,1,0,0,0,1,0,0
2900,0,0,0,0,0,0,0,0,1
2990,1,0,0,0,1,0,0,0,1
3060,2,0,1,1,0,0,0,0,0
3150,3,0,0,0,1,1,1,0,0
3200,1,0,0,0,1,0,0,0,1
3320,4,1,1,1,1,0,0,0,0
3470,2,0,0,0,0,1,1,0,0
3500,0,0,0,0,0,0,0,0,1
3680,1,0,0,0,0,1,0,0,1
3740,2,0,0,0,1,0,0,1,1
3790,1,0,1,0,0,0,0,0,1
3800,0,0,0,0,0,0,0,0,1
3940,3,0,1,0,0,1,1,0,0
3960,2,1,1,0,0,0,0,0,0
4050,1,0,0,1,0,0,0,0,0
4100,1,0,0,0,0,1,0,0,1
4230,2,1,1,0,0,0,0,0,0
4340,1,0,0,0,0,0,1,0,0
4380,1,0,0,0,0,1,0,0,1
4400,2,1,1,0,0,0,0,0,0
4560,1,0,0,1,0,0,0,0,0
4620,2,0,0,0,1,1,0,0,1
4700,2,0,0,0,0,0,1,1,0
4810,3,1,0,0,1,1,0,0,0
4920,2,0,0,1,1,0,0,0,0
5000,1,0,0,0,0,0,1,0,0
5050,2,1,1,0,0,0,0,0,0
5260,2,0,0,0,1,1,0,0,1
5300,3,0,0,0,0,1,1,1,0
5450,2,1,0,0,0,1,0,0,0
5570,1,0,0,0,1,0,0,0,1
5600,3,1,1,1,0,0,0,0,0
5730,2,0,0,1,1,0,0,0,0
5820,1,0,0,0,0,1,0,0,1
5900,4,1,0,1,1,1,0,0,0
6030,1,0,0,0,0,0,1,0,0
6120,2,0,0,0,1,1,0,0,1
6190,1,0,0,0,0,0,1,0,0
6200,3,0,1,1,1,0,0,0,0
